price,Opinion,battery_power,bc,clock_speed,dual_sim,fc,five_g,int_memory,m_dep,mobile_wt,n_cores,pc,_height,_width,ram,sc_h,sc_w,talk_time
179997,9,3279,48,3.2,1,12,0,256,0.78,172,6,12,1170,2532,6144,14.67,7.15,9.5
189990,10,3349,48,3.36,1,12,0,256,0.78,171,6,12,1179,2556,6144,14.76,7.16,11.5
55990,7,4355,50,3.46,1,12,0,256,0.78,171,6,12,1179,2556,6144,15.56,7.32,7.9
50000,6,5000,50,3.2,1,16,0,256,0.76,90.1,8,12,1080,2340,8192,12.47,5.1,11.5
5990,0,1150,0.3,0,0,0.3,0,32,1.37,172,6,12,1644,3840,6144,16.5,7.1,6.3
95000,8,5000,48,3.2,1,12,0,256,0.83,187,8,12,1080,2340,8192,15.78,7.62,12
31990,7,4300,50,3.2,1,13,0,256,0.94,172,8,12,1080,2400,8192,14.65,6.81,13
78099,8,5050,50,3,1,48,0,256,0.88,213,9,12,1344,2992,12288,16.26,7.65,11.5
139990,10,4441,48,3.78,0,12,1,256,0.83,221,6,12,2796,1290,8192,15.9,7.6,16
89990,10,5000,200,3.36,0,12,1,256,0.89,234,8,12,3088,1440,12288,16.3,7.8,13.6
62490,7,5000,50,2.2,0,8,1,128,1.19,268,8,12,2408,1080,6144,17.1,8,57
34990,4,8380,50,2.05,1,16,0,128,1.77,367,8,12,2408,1080,8192,17.6,8.3,34
11490,1,4200,8,2,1,5,0,16,0.97,190,4,12,1440,720,3072,16.2,7.6,16
74990,8,4575,50,3,0,10.5,1,128,0.89,187,9,12,2400,1080,8192,15,7,4.7
58990,8,5000,50,3.35,1,20,1,256,0.85,200,8,12,2712,1220,12288,16.2,7.5,11.5
47000,6,4500,50,3,1,32,1,128,0.83,189,8,12,2400,1080,8192,15.9,7.3,16
78990,4,4600,108,2.4,1,32,1,256,0.89,205,8,12,2400,1080,8192,16.6,7.7,24
14290,1,3000,8,2,1,5,0,32,1,172,4,12,1440,720,2048,14.6,7.1,12
75800,8,3095,12,3.23,1,12,1,512,0.765,204,6,12,2532,1170,6144,14.6,7.15,12
18900,4,5000,50,2,1,12,0,62,0.91,195,8,12,1600,720,4096,16.47,7.67,32
151990,10,4700,50,3.36,1,12,1,512,0.76,195,8,12,2340,1080,8192,15.78,7.62,18.3
84499,6,3349,48,3.46,1,12,1,128,0.78,171,6,12,2556,1179,6144,14.7,7.16,29.3
27399,4,5000,108,2.4,1,16,1,256,0.79,181,8,12,2400,1080,8192,16.2,7.6,17.4
97499,9,5050,50,3,0,10.5,1,128,0.88,213,9,12,2992,1344,12288,16.2,7.65,15.6
81299,10,4815,48,3.19,1,13,0,512,0.83,200,8,12,2700,1220,12288,16.1,7.45,18.3
66000,5,5000,50,3.2,1,16,1,256,0.85,205,8,12,3216,1440,16384,16.3,7.41,19.6
154990,10,5000,108,2.9,1,40,1,128,0.89,227,8,12,3200,1440,12288,16.5,7.56,17.6
119999,9,3274,48,3.78,1,12,1,256,0.83,187,6,12,2556,1179,8192,14.6,7.06,23.8
159990,10,4422,48,3.78,0,12,1,256,0.825,221,6,12,1290,2796,8192,17,11.02,25
22990,5,2691,12,1.42,0,7,0,64,0.75,202,6,12,1080,1920,3072,13.97,6.85,21
37900,7,4800,12,2.9,1,10,1,128,0.78,200,8,12,1080,2400,8192,17,10.78,31
39677,5,2815,12,3.1,0,12,0,64,0.74,164,6,12,1170,2532,4096,15.4,9.02,20
22381,5,5020,108,2.3,1,16,0,64,0.81,192,8,12,2400,1080,6144,16.9,10.74,42
152440,9,4500,108,2.7,1,10,1,128,0.81,208,8,12,3088,1440,8192,17.5,11.67,23
40066,5,3046,12,2.65,0,12,0,64,0.81,188,6,12,2436,1125,4096,14.7,8.44,18
78795,6,4352,12,3.23,0,12,1,128,0.77,240,6,12,2778,1284,6144,17,10.9,28
13990,7,5000,50,2,1,13,0,64,0.91,201,8,12,2408,1080,4096,16.7,10.49,29
108082,8,4323,48,3.46,0,12,1,128,0.79,240,6,12,2796,1290,6144,17,11.02,27
75000,8,3700,12,3.36,1,10,1,256,0.69,187,8,12,2640,1080,8192,16.51,7.19,29
127999,10,3700,12,3.19,1,10,1,256,0.69,187,8,12,2640,1080,8192,16.52,7.19,31
54990,7,5160,64,3,1,16,1,512,0.86,204,8,12,3200,1440,12288,16.28,7.54,18
81290,9,4815,48,3.19,1,13,0,512,0.83,200,8,12,2700,1220,12288,16.1,7.45,19.4
109990,10,3900,50,3.36,1,12,1,256,0.76,168,8,12,2340,1080,8192,14.63,7.09,17.4
64490,6,5000,50,3.35,1,20,1,512,0.85,200,8,12,2712,1220,12288,16.22,7.57,18
30000,4,5000,50,2.4,1,32,1,128,0.82,202,8,12,2340,1080,8192,15.82,7.67,17.6
44900,5,4300,108,2.4,1,32,1,256,0.73,173,8,12,2400,1080,8192,15.93,7.37,17.6
119990,7,3274,48,3.78,1,12,1,256,0.83,187,6,12,2556,1179,8192,14.66,7.06,19.9
79000,8,3700,12,3.36,0,10,1,256,0.69,187,8,12,2640,1080,8192,16.51,7.19,18
64490,6,5000,50,3.35,1,20,1,512,0.85,200,8,12,2712,1220,12288,16.22,7.57,13.2
30000,5,5000,50,2.4,1,32,1,128,0.82,202,8,12,2340,1080,8192,15.82,7.67,18.9
89990,7,4500,12,2.84,1,32,1,128,0.79,177,8,12,2340,1080,6144,15.57,7.45,18
80200,7,500,200,3.36,1,12,1,256,0.89,234,8,12,3088,1440,8192,16.34,7.81,17.6
116990,9,4700,50,3.36,1,12,0,256,0.76,196,8,12,1080,2340,8192,15.78,7.62,5.4
179997,8,3279,48,3.2,1,12,0,256,0.78,172,6,12,1170,2532,6144,14.67,7.15,4.4
189990,9,3349,48,3.36,1,12,0,256,0.78,171,6,12,1179,2556,6144,14.76,7.16,11.5
55990,6,4355,50,3.46,1,12,0,256,0.78,171,6,12,1179,2556,6144,15.56,7.32,7.9
50000,7,5000,50,3.2,1,16,0,256,0.76,90.1,8,12,1080,2340,8192,12.47,5.1,11.4
5990,0,1150,0.3,0,0,0.3,0,32,1.37,172,6,12,1644,3840,6144,16.5,7.1,6.2
95000,7,5000,48,3.2,1,12,0,256,0.83,187,8,12,1080,2340,8192,15.78,7.62,12
31990,4,4300,50,3.2,1,13,0,256,0.94,172,8,12,1080,2400,8192,14.65,6.81,14.5
78099,8,5050,50,3,1,48,0,512,0.88,213,9,12,1344,2992,12288,16.26,7.65,11.1
43860,4,3174,12,11.4,0,7,0,64,0.77,208,6,12,2688,1242,4096,15.75,7.74,25
40800,4,2900,12,6.88,0,7,0,128,0.73,188,4,12,1920,1080,3072,15.82,7.79,21
56100,4,2815,12,13.4,0,12,1,256,0.74,187,6,12,2532,1170,6144,14.67,7.15,17
60180,5,3687,12,13.4,0,12,1,256,0.74,228,6,12,2778,1284,6144,16.08,7.81,20
20400,3,2800,16,14.8,0,8,0,128,0.82,162,8,12,2280,1080,6144,14.47,6.75,24
35700,4,2716,12,8,0,7,0,128,0.77,174,6,12,2436,1125,3072,14.73,7.09,21
42840,4,5000,40,16.4,1,32,0,64,0.84,192,8,12,2340,1080,6144,15.8,7.34,32
86700,5,4000,12,17.3,1,8,1,256,0.79,181,8,12,3840,1644,8192,16.6,7.1,30
32130,4,2815,12,13.5,0,12,1,128,0.74,164,6,12,2532,1170,4096,15.49,7.44,17
8670,2,4000,18,11.3,1,8,0,32,0.78,169,8,12,720,1560,3072,15.8,7.4,23
10000,3,5000,8,2.2,1,5,0,32,0.7,192,4,12,720,76.75,3072,16.5608,7.58,18
12000,4,3900,12,3.36,1,12,1,128,0.65,167,8,12,1080,70.9,8192,15.494,8.32,22
56000,5,3240,12,3.22,1,12,1,128,0.78,204,6,12,2253,71.5,4096,15.494,7.71,15
166990,5,3687,12,3.1,1,12,1,128,0.8,228,6,12,2778,67.8,6144,17.018,7.1,21
39000,8,3350,24,2.2,1,12,0,64,0.73,197,4,12,820,74.65,4096,16.002,7.5,10
37000,7,5000,12,2.73,1,40,1,128,0.83,210,8,12,2456,80.3,12288,17.526,5.4,28
34000,8,5000,13,2.6,1,48,1,256,0.69,199,8,12,2323,70.5,8192,16.764,6.1,23
87000,9,3900,12,3.2,1,12,1,256,0.75,167,8,12,1326,65.5,8192,15.494,7.5,22
154000,10,4422,12,3.78,1,48,1,256,0.83,172,8,12,1290,73.4,8192,16.764,7.8,25
67000,6,4500,32,3.2,1,50,1,256,0.81,185,8,12,1356,71.5,8192,16.002,8.1,24
95778,10,5000,200,3.36,0,12,1,512,0.89,234,8,12,3088,1440,12288,16.34,7.81,49
146778,10,4441,48,3.78,0,12,1,512,0.83,221,6,12,2796,1290,6144,15.99,7.67,29
98838,8,4383,48,3.46,0,12,1,128,0.78,201,6,12,2796,1290,6144,16.09,7.78,26
66198,6,5000,50,3.2,1,32,1,256,0.75,205,8,12,3216,1440,16384,16.31,7.41,30
46818,4,4700,50,3,1,32,1,256,0.86,201.2,8,12,2412,1080,12288,16.21,7.64,42
81498,5,4815,48,3.19,0,13,1,512,0.83,200,8,12,2700,1220,12288,16.1,7.45,25
88638,6,5000,50,3.2,1,32,1,512,0.91,227,8,12,3200,1440,16384,16.32,7.46,33.5
93738,8,5050,50,3,0,10.5,1,128,0.88,213,9,12,2992,1344,12288,16.26,7.65,24
29478,8,5000,50,2.4,0,32,1,128,0.82,202,8,12,2340,1080,8192,15.82,7.67,46
68238,6,3700,12,3.36,0,10,1,256,0.69,187,8,12,2640,1080,8192,16.51,7.19,34
83900,8,4575,50,3,1,10.5,1,256,0.89,187,9,12,2400,1080,8192,15.05,7.08,18.3
92990,8,3349,48,3.46,0,12,1,128,0.78,171,6,12,2556,1179,6144,14.76,7.16,13.5
159990,10,4441,48,3.78,1,12,1,512,0.83,221,6,12,2796,1290,8192,15.99,6.67,19.5
11490,1,4200,8,2,1,5,0,16,0.97,197,4,12,1440,720,3072,16.2,7.69,17.5
75000,8,3700,12,3.36,1,10,1,256,0.69,187,8,12,2640,1080,8192,16.51,7.19,15.3
127999,10,3700,12,3.19,1,10,1,256,0.69,187,8,12,2640,1080,8192,16.52,7.19,16
54990,7,5160,64,3,1,16,1,512,0.86,204,8,12,3200,1440,12288,16.28,7.54,19
81290,7,4815,48,3.19,1,13,0,512,0.83,200,8,12,2700,1220,12288,16.1,7.45,18.5
109990,10,3900,50,3.36,1,12,1,256,0.76,168,8,12,2340,1080,8192,14.63,7.09,19.6
94500,8,3349,48,3.46,0,12,1,128,0.78,171,6,12,2556,1179,6144,14.76,7.16,16.4
33990,5,1821,12,2.65,1,7,0,128,0.73,148,6,12,1334,750,3072,13.84,6.73,23.9
46900,5,2018,12,3.22,1,7,1,128,0.73,144,6,12,1334,750,4096,13.84,6.73,19.5
64990,6,5000,50,2.2,1,8,1,128,1.19,268,8,12,2408,1080,6144,17.1,8,14.1
66000,7,5000,50,3.2,1,16,1,256,0.85,205,8,12,3216,1440,16384,16.31,7.41,9
89990,7,4500,12,2.84,1,32,1,128,0.79,177,8,12,2340,1080,6144,15.57,7.45,21
80200,7,500,200,3.36,1,12,1,256,0.89,234,8,12,3088,1440,8192,16.34,7.81,21
64490,6,5000,50,3.35,1,20,1,512,0.85,200,8,12,2712,1220,12288,16.22,7.57,31
30000,5,5000,50,2.4,1,32,1,128,0.82,202,8,12,2340,1080,8192,15.82,7.67,21.6
71700,7,4352,12,3.23,1,12,1,256,0.77,240,6,12,2778,1284,6144,16.08,7.81,34
17800,4,5000,50,2.4,1,13,0,128,0.88,194,8,12,2400,1080,4096,16.8,7.78,19.8
54800,6,3687,12,3.1,1,12,1,128,0.74,228,6,12,2778,1284,6144,16.08,7.81,19.6
91600,8,4323,48,3.46,1,12,1,256,0.79,240,6,12,2796,1290,6144,16.07,7.76,16.5
30100,6,5000,50,2.4,1,32,1,128,0.82,202,8,12,2340,1080,8192,15.82,7.67,17.8
23900,5,5000,108,2.2,1,16,0,256,0.81,201,8,12,2400,1080,8192,16.42,7.61,19.4
44900,5,4300,108,2.4,1,32,1,256,0.73,173,8,12,2400,1080,8192,15.93,7.37,12.5
119990,9,3274,48,3.78,1,12,1,256,0.83,187,6,12,2556,1179,8192,14.66,7.06,18.9
79000,9,3700,12,3.36,0,10,1,256,0.69,187,8,12,2640,1080,8192,16.51,7.19,15.3
38990,5,5000,200,2.6,1,16,1,256,0.89,208,8,12,2400,1080,8192,16.29,7.6,13.3
38500,5,3969,12,2.65,1,12,0,128,0.81,226,6,12,2688,1242,4096,15.8,7.78,19.1
152898,10,4422,48,3.78,0,12,1,256,0.825,221,6,12,1290,2796,8192,17,11.02,25
24888,5,2691,12,1.42,0,7,0,64,0.75,202,6,12,1080,1920,3072,13.97,6.85,21
38658,8,4800,12,2.9,1,10,1,128,0.78,200,8,12,1080,2400,8192,17,10.78,31
40392,6,2815,12,3.1,0,12,0,64,0.74,164,6,12,1170,2532,4096,15.4,9.02,20
23154,5,5020,108,2.3,1,16,0,64,0.81,192,8,12,2400,1080,6144,16.9,10.74,42
141678,9,4500,108,2.7,1,10,1,128,0.81,208,8,12,3088,1440,8192,17.5,11.67,23
61098,5,3046,12,2.65,0,12,0,64,0.81,188,6,12,2436,1125,4096,14.7,8.44,18
80274,5,4352,12,3.23,0,12,1,128,0.77,240,6,12,2778,1284,6144,17,10.9,28
16626,4,5000,50,2,1,13,0,64,0.91,201,8,12,2408,1080,4096,16.7,10.49,29
143718,9,4323,48,3.46,0,12,1,128,0.8,240,6,12,2608,1290,6144,15.8,11.02,27
